30.0545,77.6728
28.9726,79.7051
29.8292,78.7164
30.2769,77.9523
28.188,79.7601
28.9504,78.6837
28.6529,79.7508
30.245,79.8891
28.7832,79.5732
30.1988,78.9376
28.1926,78.6362
30.3115,77.8795
29.4146,77.6218
28.6373,78.9728
29.0861,79.2758
29.182,77.8535
30.3758,78.5472
30.1381,77.6845
30.6892,79.6383
28.3744,79.9231
30.2003,79.5271
30.9693,79.2578
29.8382,78.8019
30.1222,79.0976
28.5592,77.3513
30.979,78.3708
29.2846,79.4993
29.1629,78.2386
30.0484,77.3341
29.7617,77.6723
30.0432,79.987
30.9372,77.3491
29.2449,78.4943
30.6715,79.8519
29.4134,77.087
28.221,77.6073
28.5624,77.5956
29.7594,79.4983
30.8244,77.3801
28.5557,77.9922
29.4722,79.7373
29.2374,77.3163
29.409,78.3836
30.1061,79.2473
28.207,79.3228
29.4447,78.614
30.0296,77.846
29.3638,77.7039
28.2989,77.3004
30.1643,79.8115
